scientific.name;source;occurrence;motherbond;motherbond.source;pairbond;pairbond.source;grade;pauly.level;brain.size;body.weight;sex;family;number.prey;source.prey;n.prey;method.prey;names.prey;groups.prey;species
Phoca groenlandica;Bininda-Emonds 2000;north atlantic, subartic, arctic;;;;;;3,8;252,5;129,5;f;Phocidae;4;Lawson et al. 1997;724;stomach, dead;actinopterygii, cephalopoda, bivalvia, malacostraca;3;Phocagroenlandica
Phoca hispida;Crile and Quiring 1940;north atlantic, subarctic, arctic, north pasific, baltic;;;;;;3,8;251;71,67;m;Phocidae;6;"Chambellant et al. 2013; Weslawski et al. 1994";"889; 134";"stomach, dead; stomach, dead";actinopterygii, malacostraca, hexanauplia, echinoidea, bivalvia, polychaeta;2;Phocahispida
Phoca hispida;Crile and Quiring 1940;north atlantic, subarctic, arctic, north pasific, baltic;;;;;;3,8;255;66,5;f;Phocidae;7;"Chambellant et al. 2013; Weslawski et al. 1995";"889; 135";"stomach, dead; stomach, dead";actinopterygii, malacostraca, hexanauplia, echinoidea, bivalvia, polychaeta;2;Phocahispida
Phoca hispida;Bininda-Emonds 2000;north atlantic, subarctic, arctic, north pasific, baltic;;;;;;3,8;207,5;71,67;m;Phocidae;8;"Chambellant et al. 2013; Weslawski et al. 1996";"889; 136";"stomach, dead; stomach, dead";actinopterygii, malacostraca, hexanauplia, echinoidea, bivalvia, polychaeta;2;Phocahispida
Phoca hispida;Bininda-Emonds 2000;north atlantic, subarctic, arctic, north pasific, baltic;;;;;;3,8;185;66,5;f;Phocidae;9;"Chambellant et al. 2013; Weslawski et al. 1997";"889; 137";"stomach, dead; stomach, dead";actinopterygii, malacostraca, hexanauplia, echinoidea, bivalvia, polychaeta;2;Phocahispida
Phoca largha ;Bininda-Emonds 2000;north pacific, subarctic;;;;;;4;257,5;97;m;Phocidae;;;;;;;Phocalargha
Phoca largha ;Bininda-Emonds 2000;north pacific, subarctic;;;;;;4;250;86;f;Phocidae;;;;;;;Phocalargha
Phoca sibirica ;Bininda-Emonds 2000;;;;;;;4;185;89,5;m;Phocidae;1;Marine mammal enceclopedia;;;actinopterygii;1;Phocasibirica
Phoca sibirica ;Bininda-Emonds 2000;;;;;;;4;190;89,5;f;Phocidae;1;Marine mammal enceclopedia;;;actinopterygii;1;Phocasibirica
Phoca vitulina;Crile and Quiring 1940;arctic, subarctic, north pacific, north atlantic;;;;;;4;442;97,13;m;Phocidae;3;Berg et al. 2002;43;stomach, dead, feaces;actinopterygii, cephalopoda, malacostraca;3;Phocavitulina
Phoca vitulina;Ferren and Elsner 1979;arctic, subarctic, north pacific, north atlantic;;;;;;4;260;;;Phocidae;3;Berg et al. 2002;43;stomach, dead, feaces;actinopterygii, cephalopoda, malacostraca;3;Phocavitulina
Phoca vitulina;King 1983;arctic, subarctic, north pacific, north atlantic;;;;;;4;275;;;Phocidae;3;Berg et al. 2002;43;stomach, dead, feaces;actinopterygii, cephalopoda, malacostraca;3;Phocavitulina
Phoca vitulina;Bininda-Emonds 2000;arctic, subarctic, north pacific, north atlantic;;;;;;4;282,5;97,13;m;Phocidae;3;Berg et al. 2002;43;stomach, dead, feaces;actinopterygii, cephalopoda, malacostraca;3;Phocavitulina
Phoca vitulina;Bininda-Emonds 2000;arctic, subarctic, north pacific, north atlantic;;;;;;4;265;77,5;f;Phocidae;3;Berg et al. 2002;43;stomach, dead, feaces;actinopterygii, cephalopoda, malacostraca;3;Phocavitulina
Leptonychotes weddellii;Eisert et al. 2013;antarctic;;;;;;4;563,4;376;f;Phocidae;9;Casaux et al. 2008;70;scat;actinopterygii, aves, crustacea, bivalvia, gastropoda, cephalopoda, malacostraca;4;Leptonychotesweddellii
